ID,LEARNING CENTER,BRANCH SCHOOL,TUTOR,HEAD TEACHER,ONLINE,OFFLINE
328,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,PANDITHA SUDHA COACHING CENTRE,3,3,1,3
329,Sri Chaitanya Junior College ,ACADEMY OF MATHEMATICS AND STATISTICS,2,4,1,6
330,Arunodaya High School,NIIT,2,3,1,3
331,Akshra English Medium School,VIGNESH COACHING CENTRE,4,2,3,1
332,Sri Padmavathi Women's Junior College ,SHINE IAS STUDY CIRCLE,1,1,4,1
333,Anjali Junior College,KARTHIK INSTITUTE OF POLICE COACHING,3,1,2,2
334,Nri Academy,VIGNESH COACHING CENTRE,3,4,3,6
335,Akshara High School,MY CAREER POINT,3,3,1,1
336,Nri Academy,ELITE POLYTECHNIC & APRJC COACHING CENTRE,2,3,2,6
337,Accord School,Sheker'S IAS Study Circle,4,3,5,3
338,Sri Padmavathi Women's Junior College ,DAMS SKY,1,3,5,1
339,Akshara High School,ROLLER SPORTS COACHING CENTRE,3,3,5,1
340,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ACE ENGINEERING ACADEMY,4,2,4,4
341,Ashwamedha Junior College & Neet Medical Academy ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,4,2,5
342,Anu Vocational Junior College,KSRM COACHING CENTER,1,1,5,5
343,Sri Chaitanya Junior College ,VIVEK COACHING CENTRE,4,1,5,6
344,S V Defence Academy,KARTHIK INSTITUTE OF POLICE COACHING,4,2,1,2
345,Sri Chaitanya Junior College ,MY CAREER POINT,2,3,1,1
346,S V Defence Academy,VIGNESH COACHING CENTRE,2,4,5,4
347,Narayana Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,4,1,2,5
348,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ACE ENGINEERING ACADEMY,4,1,5,3
349,Alpha Gamma Sigma Junior College,SREEDHAR'S CCE,3,1,2,6
350,Akshara High School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,2,2,3
351,Accord School,NIIT,4,4,4,1
352,Akshara High School,BANKER'S ADDA,1,1,5,5
353,S V Defence Academy,SAIMEDHA EDUCATIONAL INSTITUTE,4,2,1,3
354,Sri Chaitanya Junior College ,NIIT,4,3,4,2
355,Arunodaya High School,BANKER'S ADDA,2,1,4,5
356,Anjali Junior College,KSRM COACHING CENTER,1,3,1,2
357,Ashwamedha Junior College & Neet Medical Academy ,POORNASAI COACHING,3,4,4,4
358,Narayana Junior College,KARTHIK INSTITUTE OF POLICE COACHING,3,4,5,2
359,Accord School,CAREER LAUNCHER,1,3,1,5
360,S V Defence Academy,POORNASAI COACHING,1,4,5,6
361,SDHR Junior & Degree & Pg College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,2,3,4
362,Ashwamedha Junior College & Neet Medical Academy ,DR. LAKSHMAIAH IAS STUDY CIRCLE,4,3,5,6
363,Sri Padmavathi Women's Junior College ,Sheker'S IAS Study Circle,3,4,1,3
364,Anu Vocational Junior College,ACADEMY OF MATHEMATICS AND STATISTICS,2,4,1,6
365,SDHR Junior & Degree & Pg College ,POORNASAI COACHING,1,4,1,6
366,Sri Padmavathi Women's Junior College ,ACE ENGINEERING ACADEMY,2,4,5,5
367,S V Defence Academy,KARTHIK INSTITUTE OF POLICE COACHING,1,4,3,1
368,Sri Padmavathi Women's Junior College ,ROLLER SPORTS COACHING CENTRE,2,2,5,1
369,Akshara High School,NIIT,4,4,3,2
370,Academic Heights Public School - AHPS,Sheker'S IAS Study Circle,2,3,4,2
371,Sri Chaitanya Junior College ,VIVEK COACHING CENTRE,4,1,5,1
372,Academic Heights Public School - AHPS,SHINE IAS STUDY CIRCLE,2,3,5,5
373,Arunodaya High School,DAMS SKY,3,1,5,5
374,S V Defence Academy,CAREER LAUNCHER,2,3,2,4
375,Anjali Junior College,GURU SAI COACHING CENTER,3,4,2,5
376,Sri Chaitanya Junior College ,SREEDHAR'S CCE,3,3,2,2
377,Sri Chaitanya Junior College ,DAMS SKY,2,4,3,6
378,Ashwamedha Junior College & Neet Medical Academy ,SAIMEDHA EDUCATIONAL INSTITUTE,3,1,3,4
379,Sri Chaitanya Junior College ,KARTHIK INSTITUTE OF POLICE COACHING,3,3,3,3
380,Ashwamedha Junior College & Neet Medical Academy ,SKILL WORLD COMPUTERS,4,4,3,6
381,S V Defence Academy,KARTHIK INSTITUTE OF POLICE COACHING,3,1,2,5
382,Anjali Junior College,SHINE IAS STUDY CIRCLE,2,4,5,5
383,Akshra English Medium School,ROLLER SPORTS COACHING CENTRE,1,4,4,4
384,Narayana Junior College,SHINE IAS STUDY CIRCLE,4,3,3,1
385,Anu Vocational Junior College,SAIMEDHA GATE COACHING CENTER,1,4,1,2
386,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,4,1,1
387,Alpha Gamma Sigma Junior College,ANALYST IAS ACADEMY,4,3,2,3
388,Ashwamedha Junior College & Neet Medical Academy ,SAIMEDHA GATE COACHING CENTER,2,1,1,1
389,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SREEDHAR'S CCE,1,3,4,6
390,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,C L CAREER LAUNCHER,1,3,4,2
391,Narayana Junior College,SREEDHAR'S CCE,1,2,1,2
392,Alpha Gamma Sigma Junior College,DAMS SKY,1,4,1,3
393,Sri Chaitanya Junior College ,SAIMEDHA EDUCATIONAL INSTITUTE,4,3,2,2
394,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,2,4,1
395,Akshra English Medium School,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,4,2,3
396,SDHR Junior & Degree & Pg College ,GURU SAI COACHING CENTER,1,2,3,3
397,Sri Chaitanya Junior College ,SAIMEDHA EDUCATIONAL INSTITUTE,2,1,2,4
398,Akshra English Medium School,RADHAKRISHNA EDUCATIONAL INSTITUTES,4,1,2,4
399,Alpha Gamma Sigma Junior College,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,4,3,4
400,Sri Chaitanya Junior College ,ACADEMY OF MATHEMATICS AND STATISTICS,2,4,1,3
401,Academic Heights Public School - AHPS,JB INSTITUTE FOR COMPETITVE EXAMS,2,2,1,4
402,Arunodaya High School,VIVEK COACHING CENTRE,1,3,2,4
403,Anu Vocational Junior College,VIGNESH COACHING CENTRE,1,2,4,6
404,Alpha Gamma Sigma Junior College,Sheker'S IAS Study Circle,4,3,5,5
405,Anu Vocational Junior College,PANDITHA SUDHA COACHING CENTRE,4,2,2,3
406,Narayana Junior College,Sheker'S IAS Study Circle,3,1,2,4
407,Akshara High School,MY CAREER POINT,3,2,3,6
408,Akshara High School,SREEDHAR'S CCE,2,3,1,2
409,Alpha Gamma Sigma Junior College,PANDITHA SUDHA COACHING CENTRE,3,1,4,4
410,Anu Vocational Junior College,PANDITHA SUDHA COACHING CENTRE,4,2,3,5
411,Akshra English Medium School,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,3,1,3
412,SDHR Junior & Degree & Pg College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,4,4,1,3
413,Academic Heights Public School - AHPS,BHARATH DEFENCE COACHING CENTRE,2,2,1,2
414,Nri Academy,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,3,2,6
415,Anu Vocational Junior College,BANKERS ADD,4,1,3,3
416,Ashwamedha Junior College & Neet Medical Academy ,BHARATH DEFENCE COACHING CENTRE,2,4,5,1
417,Alpha Gamma Sigma Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,4,4,2,1
418,Arunodaya High School,BHARATH DEFENCE COACHING CENTRE,1,3,4,1
419,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,VIVEK COACHING CENTRE,4,3,1,5
420,Sri Chaitanya Junior College ,IGNITE ACADEMY,3,2,4,3
421,Akshara High School,GURU SAI COACHING CENTER,4,2,1,5
422,Alpha Gamma Sigma Junior College,SRI KRISHNAVENI COACHING CENTRE,1,3,5,2
423,Akshara High School,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,3,1,3
424,Accord School,SREEDHAR'S CCE,2,1,4,5
425,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SREEDHAR'S CCE,2,2,2,3
426,Akshara High School,NIIT,4,3,2,6
427,Anu Vocational Junior College,ANALYST IAS ACADEMY,3,4,3,6
428,Academic Heights Public School - AHPS,RADHAKRISHNA EDUCATIONAL INSTITUTES,1,1,4,5
429,Alpha Gamma Sigma Junior College,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,4,1,1
430,Narayana Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,1,1,2,3
431,Alpha Gamma Sigma Junior College,BANKER'S ADDA,1,2,3,3
432,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SREEDHAR'S CCE,3,3,4,6
433,Nri Academy,IGNITE ACADEMY,2,2,4,3
434,Arunodaya High School,SKILL WORLD COMPUTERS,2,2,1,5
435,Sri Chaitanya Junior College ,MAHENDRA EDUCATIONAL PVT LTD,3,1,1,6
436,Ashwamedha Junior College & Neet Medical Academy ,TALENTSPRINT PVT. LTD,4,3,1,5
437,Academic Heights Public School - AHPS,SAIMEDHA GATE COACHING CENTER,2,3,2,1
438,Arunodaya High School,GURU SAI COACHING CENTER,4,2,4,1
439,Academic Heights Public School - AHPS,JB INSTITUTE FOR COMPETITVE EXAMS,1,1,5,3
440,Akshra English Medium School,SRI KRISHNAVENI COACHING CENTRE,3,2,5,6
441,Akshara High School,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,1,3,5
442,Sri Padmavathi Women's Junior College ,KARTHIK INSTITUTE OF POLICE COACHING,1,4,5,4
443,Nri Academy,TALENTSPRINT PVT. LTD,2,2,1,5
444,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,VIVEK COACHING CENTRE,1,2,1,2
445,Alpha Gamma Sigma Junior College,ROLLER SPORTS COACHING CENTRE,1,4,1,2
446,Anu Vocational Junior College,POORNASAI COACHING,4,4,1,3
447,Sri Chaitanya Junior College ,RADHAKRISHNA EDUCATIONAL INSTITUTES,3,2,5,5
448,Akshra English Medium School,Sheker'S IAS Study Circle,1,4,4,3
449,Sri Chaitanya Junior College ,JB INSTITUTE FOR COMPETITVE EXAMS,2,2,3,1
450,Accord School,MY CAREER POINT,3,1,4,5
451,Anjali Junior College,MAHENDRA EDUCATIONAL PVT LTD,4,2,1,3
452,Arunodaya High School,POORNASAI COACHING,4,3,5,5
453,Anu Vocational Junior College,DAMS SKY,4,2,5,5
454,Anjali Junior College,CAREER LAUNCHER,1,1,2,1
455,Sri Padmavathi Women's Junior College ,IGNITE ACADEMY,3,4,3,4
456,Anjali Junior College,ROLLER SPORTS COACHING CENTRE,3,1,4,4
457,Anu Vocational Junior College,SHINE IAS STUDY CIRCLE,1,3,3,4
458,SDHR Junior & Degree & Pg College ,ROLLER SPORTS COACHING CENTRE,4,2,3,1
459,SDHR Junior & Degree & Pg College ,SREEDHAR'S CCE,4,3,5,3
460,Narayana Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,4,3,1,5
461,Sri Chaitanya Junior College ,NIIT,3,3,4,4
462,SDHR Junior & Degree & Pg College ,SREEDHAR'S CCE,4,2,1,4
463,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,3,4,2,4
464,Nri Academy,VIGNESH COACHING CENTRE,4,2,2,3
465,Nri Academy,DAMS SKY,1,3,1,1
466,Accord School,SAIMEDHA EDUCATIONAL INSTITUTE,3,2,3,2
467,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,GURU SAI COACHING CENTER,3,4,5,5
468,Akshara High School,SRI VISWAM COACHING CENTRE,4,4,4,2
469,Akshra English Medium School,VIGNESH COACHING CENTRE,2,4,1,2
470,S V Defence Academy,NIIT,3,1,2,2
471,Accord School,GURU SAI COACHING CENTER,2,3,1,3
472,Narayana Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,2,1,4
473,Anjali Junior College,ROLLER SPORTS COACHING CENTRE,1,2,5,6
474,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ACADEMY OF MATHEMATICS AND STATISTICS,2,4,5,4
475,Anu Vocational Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,3,4,1,1
476,Sri Padmavathi Women's Junior College ,PANDITHA SUDHA COACHING CENTRE,2,2,2,5
477,Nri Academy,VIGNESH COACHING CENTRE,3,4,4,5
478,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,GURU SAI COACHING CENTER,3,2,1,6
479,Sri Padmavathi Women's Junior College ,SAIMEDHA EDUCATIONAL INSTITUTE,2,2,1,1
480,Ashwamedha Junior College & Neet Medical Academy ,EMINENT COACHING CENTRE,3,4,3,5
481,Anjali Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,3,1,1
482,Sri Chaitanya Junior College ,KARTHIK INSTITUTE OF POLICE COACHING,4,1,5,1
483,Accord School,KARTHIK INSTITUTE OF POLICE COACHING,2,1,4,3
484,SDHR Junior & Degree & Pg College ,KARTHIK INSTITUTE OF POLICE COACHING,2,1,1,3
485,Narayana Junior College,POORNASAI COACHING,2,3,3,5
486,Ashwamedha Junior College & Neet Medical Academy ,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,2,3,2
487,Accord School,BHARATH DEFENCE COACHING CENTRE,2,1,3,1
488,Akshra English Medium School,ACADEMY OF MATHEMATICS AND STATISTICS,2,2,1,4
489,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,JB INSTITUTE FOR COMPETITVE EXAMS,2,4,5,5
490,Anjali Junior College,PANDITHA SUDHA COACHING CENTRE,4,3,2,3
491,Academic Heights Public School - AHPS,TALENTSPRINT PVT. LTD,4,2,4,1
492,Sri Padmavathi Women's Junior College ,SKILL WORLD COMPUTERS,1,4,2,3
493,Anjali Junior College,BANKER'S ADDA,1,4,5,4
494,Ashwamedha Junior College & Neet Medical Academy ,POORNASAI COACHING,1,3,5,2
495,Arunodaya High School,ACADEMY OF MATHEMATICS AND STATISTICS,2,1,3,4
496,Alpha Gamma Sigma Junior College,IGNITE ACADEMY,1,4,3,6
497,Akshra English Medium School,VIGNESH COACHING CENTRE,4,3,1,3
498,SDHR Junior & Degree & Pg College ,NIIT,2,4,4,5
499,Narayana Junior College,DAMS SKY,4,4,2,5
500,Accord School,PANDITHA SUDHA COACHING CENTRE,3,3,4,2
501,Sri Chaitanya Junior College ,KSRM COACHING CENTER,2,3,3,2
502,Alpha Gamma Sigma Junior College,Sheker'S IAS Study Circle,1,1,4,5
503,Sri Chaitanya Junior College ,ROLLER SPORTS COACHING CENTRE,1,4,1,6
504,Ashwamedha Junior College & Neet Medical Academy ,BANKER'S ADDA,3,2,1,2
505,Alpha Gamma Sigma Junior College,VIVEK COACHING CENTRE,1,3,5,6
506,Narayana Junior College,BHARATH DEFENCE COACHING CENTRE,2,2,4,1
507,Sri Padmavathi Women's Junior College ,SRI KRISHNAVENI COACHING CENTRE,1,1,4,1
508,Accord School,BHARATH DEFENCE COACHING CENTRE,3,2,1,3
509,Anjali Junior College,EMINENT COACHING CENTRE,2,3,5,1
510,SDHR Junior & Degree & Pg College ,PANDITHA SUDHA COACHING CENTRE,2,2,3,6
511,SDHR Junior & Degree & Pg College ,SHINE IAS STUDY CIRCLE,4,1,5,6
512,Sri Padmavathi Women's Junior College ,KSRM COACHING CENTER,4,2,5,1
513,SDHR Junior & Degree & Pg College ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,2,5,1
514,SDHR Junior & Degree & Pg College ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,3,1,5
515,Akshra English Medium School,DAMS SKY,1,2,2,6
516,SDHR Junior & Degree & Pg College ,SKILL WORLD COMPUTERS,1,2,4,6
517,Ashwamedha Junior College & Neet Medical Academy ,EMINENT COACHING CENTRE,2,2,4,4
518,Academic Heights Public School - AHPS,SRI VISWAM COACHING CENTRE,4,4,4,1
519,Alpha Gamma Sigma Junior College,RADHAKRISHNA EDUCATIONAL INSTITUTES,3,4,1,5
520,Anjali Junior College,BANKER'S ADDA,1,4,5,5
521,Accord School,VIGNESH COACHING CENTRE,3,4,1,6
522,Narayana Junior College,BANKERS ADD,4,1,2,1
523,Akshra English Medium School,SREEDHAR'S CCE,4,1,1,1
524,Narayana Junior College,DAMS SKY,2,3,4,3
525,Accord School,DAMS SKY,4,4,5,4
526,Ashwamedha Junior College & Neet Medical Academy ,ACE ENGINEERING ACADEMY,4,2,3,3
527,Sri Padmavathi Women's Junior College ,SRI VISWAM COACHING CENTRE,2,1,3,1
528,Anu Vocational Junior College,BHARATH DEFENCE COACHING CENTRE,3,4,4,3
529,S V Defence Academy,MAHENDRA EDUCATIONAL PVT LTD,4,1,4,6
530,Ashwamedha Junior College & Neet Medical Academy ,SRI KRISHNAVENI COACHING CENTRE,1,4,3,2
531,Akshara High School,BANKERS ADD,1,4,2,1
532,Narayana Junior College,SHINE IAS STUDY CIRCLE,3,3,5,6
533,Nri Academy,KSRM COACHING CENTER,3,3,5,4
534,Nri Academy,GURU SAI COACHING CENTER,2,2,3,4
535,SDHR Junior & Degree & Pg College ,GURU SAI COACHING CENTER,3,2,3,3
536,Sri Chaitanya Junior College ,EMINENT COACHING CENTRE,2,2,1,6
537,Ashwamedha Junior College & Neet Medical Academy ,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,2,3,6
538,SDHR Junior & Degree & Pg College ,EMINENT COACHING CENTRE,2,4,1,4
539,Anjali Junior College,KSRM COACHING CENTER,4,2,4,2
540,Akshara High School,ANALYST IAS ACADEMY,2,3,2,5
541,Nri Academy,POORNASAI COACHING,1,2,3,6
542,Anu Vocational Junior College,MAHENDRA EDUCATIONAL PVT LTD,2,1,3,2
543,Akshara High School,ACADEMY OF MATHEMATICS AND STATISTICS,4,1,3,4
544,Akshara High School,AAKASH INSTITUTE OF MEDICAL IIT - JEE,2,2,1,6
545,S V Defence Academy,MY CAREER POINT,1,4,5,3
546,Anu Vocational Junior College,ANALYST IAS ACADEMY,1,2,3,1
547,Akshara High School,TALENTSPRINT PVT. LTD,1,3,3,2
548,Accord School,BANKERS ADD,3,2,3,6
549,SDHR Junior & Degree & Pg College ,POORNASAI COACHING,3,1,5,1
550,Arunodaya High School,DR. LAKSHMAIAH IAS STUDY CIRCLE,4,1,4,5
551,Sri Chaitanya Junior College ,GURU SAI COACHING CENTER,3,4,2,6
552,Anu Vocational Junior College,IGNITE ACADEMY,1,4,2,1
553,Narayana Junior College,SREEDHAR'S CCE,3,1,1,1
554,Anu Vocational Junior College,RADHAKRISHNA EDUCATIONAL INSTITUTES,1,2,3,3
555,Anjali Junior College,C L CAREER LAUNCHER,2,2,2,5
556,Alpha Gamma Sigma Junior College,BANKERS ADD,2,4,2,5
557,Anjali Junior College,BHARATH DEFENCE COACHING CENTRE,4,3,2,6
558,Alpha Gamma Sigma Junior College,C L CAREER LAUNCHER,2,2,2,4
559,Anu Vocational Junior College,VIGNESH COACHING CENTRE,2,2,2,3
560,Narayana Junior College,BHARATH DEFENCE COACHING CENTRE,1,1,4,2
561,Accord School,ACADEMY OF MATHEMATICS AND STATISTICS,1,2,2,4
562,Ashwamedha Junior College & Neet Medical Academy ,PANDITHA SUDHA COACHING CENTRE,4,2,3,2
563,Narayana Junior College,VIVEK COACHING CENTRE,1,4,5,4
564,Nri Academy,AAKASH INSTITUTE OF MEDICAL IIT - JEE,3,4,3,3
565,SDHR Junior & Degree & Pg College ,PANDITHA SUDHA COACHING CENTRE,3,3,4,6
566,Accord School,ROLLER SPORTS COACHING CENTRE,3,4,4,2
567,Anu Vocational Junior College,EMINENT COACHING CENTRE,1,4,3,6
568,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,CAREER LAUNCHER,4,3,1,3
569,S V Defence Academy,KSRM COACHING CENTER,3,1,3,1
570,Alpha Gamma Sigma Junior College,ANALYST IAS ACADEMY,4,3,5,4
571,Akshara High School,SREEDHAR'S CCE,3,2,3,6
572,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,DR. LAKSHMAIAH IAS STUDY CIRCLE,4,4,2,4
573,Alpha Gamma Sigma Junior College,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,1,1,5
574,Arunodaya High School,Sheker'S IAS Study Circle,2,2,2,4
575,Ashwamedha Junior College & Neet Medical Academy ,ROLLER SPORTS COACHING CENTRE,1,3,4,1
576,Akshra English Medium School,ACE ENGINEERING ACADEMY,3,4,3,3
577,Sri Chaitanya Junior College ,IGNITE ACADEMY,2,2,4,5
578,Akshra English Medium School,KSRM COACHING CENTER,4,3,5,2
579,Accord School,KARTHIK INSTITUTE OF POLICE COACHING,1,4,1,4
580,Sri Padmavathi Women's Junior College ,GURU SAI COACHING CENTER,3,4,1,5
581,Nri Academy,SRI VISWAM COACHING CENTRE,1,1,5,2
582,Arunodaya High School,C L CAREER LAUNCHER,2,4,4,2
583,Alpha Gamma Sigma Junior College,MY CAREER POINT,1,3,4,1
584,Alpha Gamma Sigma Junior College,ANALYST IAS ACADEMY,1,3,1,3
585,Akshara High School,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,1,1,1,4
586,Nri Academy,ROLLER SPORTS COACHING CENTRE,2,3,4,5
587,Sri Chaitanya Junior College ,VIVEK COACHING CENTRE,2,2,1,4
588,Arunodaya High School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,1,3,1
589,Academic Heights Public School - AHPS,SAIMEDHA EDUCATIONAL INSTITUTE,3,1,1,6
590,S V Defence Academy,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,1,3,1
591,SDHR Junior & Degree & Pg College ,C L CAREER LAUNCHER,2,1,3,4
592,Alpha Gamma Sigma Junior College,ROLLER SPORTS COACHING CENTRE,4,1,3,5
593,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,RADHAKRISHNA EDUCATIONAL INSTITUTES,3,4,3,6
594,Arunodaya High School,SRI KRISHNAVENI COACHING CENTRE,3,3,1,2
595,SDHR Junior & Degree & Pg College ,SRI KRISHNAVENI COACHING CENTRE,1,3,2,1
596,Nri Academy,POORNASAI COACHING,4,1,1,6
597,Sri Padmavathi Women's Junior College ,KARTHIK INSTITUTE OF POLICE COACHING,4,4,1,4
598,Sri Chaitanya Junior College ,GURU SAI COACHING CENTER,2,1,2,1
599,Sri Chaitanya Junior College ,Sheker'S IAS Study Circle,2,2,4,2
600,Sri Padmavathi Women's Junior College ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,2,2,2,6
601,SDHR Junior & Degree & Pg College ,SRI KRISHNAVENI COACHING CENTRE,2,1,1,2
602,Arunodaya High School,DAMS SKY,1,2,2,5
603,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,2,2,5,4
604,Academic Heights Public School - AHPS,CAREER LAUNCHER,3,3,4,6
605,Ashwamedha Junior College & Neet Medical Academy ,Sheker'S IAS Study Circle,1,2,1,3
606,Anu Vocational Junior College,ACADEMY OF MATHEMATICS AND STATISTICS,4,3,4,6
607,S V Defence Academy,KSRM COACHING CENTER,2,3,1,1
608,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ANALYST IAS ACADEMY,1,1,5,2
609,Anu Vocational Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,4,4,5,4
610,Alpha Gamma Sigma Junior College,NIIT,1,4,5,5
611,Alpha Gamma Sigma Junior College,Sheker'S IAS Study Circle,4,2,3,4
612,Sri Chaitanya Junior College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,4,5,1
613,Akshara High School,SAIMEDHA EDUCATIONAL INSTITUTE,3,3,4,2
614,Nri Academy,SREEDHAR'S CCE,2,4,1,2
615,Sri Padmavathi Women's Junior College ,TALENTSPRINT PVT. LTD,2,1,4,4
616,Anjali Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,3,1,6
617,SDHR Junior & Degree & Pg College ,SHINE IAS STUDY CIRCLE,4,3,5,3
618,Sri Chaitanya Junior College ,BANKER'S ADDA,2,3,1,1
619,Narayana Junior College,BHARATH DEFENCE COACHING CENTRE,2,4,1,5
620,Anjali Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,4,5,1
621,Akshra English Medium School,SHINE IAS STUDY CIRCLE,4,4,5,6
622,Ashwamedha Junior College & Neet Medical Academy ,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,2,1,3
623,Alpha Gamma Sigma Junior College,BHARATH DEFENCE COACHING CENTRE,4,1,4,1
624,Anu Vocational Junior College,SHINE IAS STUDY CIRCLE,3,3,5,6
625,Anu Vocational Junior College,SAIMEDHA GATE COACHING CENTER,4,2,2,4
626,Narayana Junior College,C L CAREER LAUNCHER,1,4,3,1
627,Alpha Gamma Sigma Junior College,ANALYST IAS ACADEMY,3,3,3,3
628,Alpha Gamma Sigma Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,4,2,6
629,S V Defence Academy,CAREER LAUNCHER,3,1,1,4
630,Narayana Junior College,BHARATH DEFENCE COACHING CENTRE,4,1,5,3
631,Anu Vocational Junior College,PANDITHA SUDHA COACHING CENTRE,3,2,2,5
632,Accord School,BANKERS ADD,2,4,4,6
633,Sri Padmavathi Women's Junior College ,MAHENDRA EDUCATIONAL PVT LTD,2,2,5,6
634,Academic Heights Public School - AHPS,BANKERS ADD,3,3,5,4
635,Ashwamedha Junior College & Neet Medical Academy ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,1,1,4
636,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SRI KRISHNAVENI COACHING CENTRE,3,2,1,5
637,Akshra English Medium School,SRI VISWAM COACHING CENTRE,1,3,1,6
638,Anjali Junior College,ACADEMY OF MATHEMATICS AND STATISTICS,1,3,4,2
639,Akshra English Medium School,BHARATH DEFENCE COACHING CENTRE,3,3,2,4
640,S V Defence Academy,DAMS SKY,2,4,3,4
641,Alpha Gamma Sigma Junior College,SRI KRISHNAVENI COACHING CENTRE,2,3,1,6
642,Accord School,ANALYST IAS ACADEMY,3,4,4,1
643,Sri Chaitanya Junior College ,Sheker'S IAS Study Circle,4,3,3,5
644,Arunodaya High School,MY CAREER POINT,1,4,2,6
645,Anjali Junior College,ACADEMY OF MATHEMATICS AND STATISTICS,3,1,2,3
646,Sri Chaitanya Junior College ,Sheker'S IAS Study Circle,4,4,5,6
647,S V Defence Academy,IGNITE ACADEMY,3,3,1,1
648,Academic Heights Public School - AHPS,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,3,4,1
649,Ashwamedha Junior College & Neet Medical Academy ,KARTHIK INSTITUTE OF POLICE COACHING,1,3,2,2
650,Nri Academy,NIIT,2,4,5,6
651,Nri Academy,NIIT,2,2,3,1
652,Narayana Junior College,VIGNESH COACHING CENTRE,4,1,2,2
